,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,compass_1,compass_2,compass_3
4932,7.5,30.61,-0.4966,-0.6591,-0.1221,-0.5514,243.97,281.02,313.12,61.21
4933,8.25,29.11,-0.4788,-0.6184,-0.1426,-0.6067,235.04,294.91,298.88,58.28
4934,8.4,28.21,-0.4679,-0.6095,-0.1075,-0.6309,239.17,298.29,291.49,55.99
4935,8.55,29.11,-0.4682,-0.5756,-0.1402,-0.6556,235.25,310.02,282.57,55.84
4936,8.55,29.86,-0.47,-0.5299,-0.1967,-0.678,230.79,327.34,270.45,57.36
4937,9.9,29.26,-0.484,-0.5104,-0.1565,-0.6934,241.53,327.21,268.82,49.03
4938,9.9,30.76,-0.5073,-0.4604,-0.0795,-0.7241,263.26,328.0,264.71,50.48
4939,8.55,29.56,-0.5374,-0.2763,-0.0504,-0.7952,300.85,345.56,251.93,57.94
4940,11.1,29.86,-0.5489,-0.1465,0.1658,-0.8061,353.8,334.61,249.2,50.26
4941,10.35,28.81,-0.5704,0.0041,0.4591,-0.6811,63.91,312.98,245.69,55.12
4942,10.95,26.41,-0.6492,0.0656,0.3379,-0.6783,63.7,333.94,259.94,56.43
4943,10.35,28.36,-0.7012,0.0619,0.3861,-0.5962,75.93,331.72,269.35,56.94
4944,10.35,27.76,-0.7094,0.1271,0.363,-0.5906,83.4,340.56,272.98,56.44
4945,11.1,27.31,-0.7261,0.2077,0.2903,-0.5877,83.48,356.95,280.87,54.57
4946,11.55,29.56,-0.7099,0.1959,0.3048,-0.604,84.03,353.04,276.54,56.42
4947,11.1,27.76,-0.6603,0.067,0.3559,-0.6579,67.87,332.76,261.75,58.55
4948,10.2,26.86,-0.6044,-0.106,0.3657,-0.6998,34.15,317.97,255.03,57.07
4949,9.45,27.61,-0.5507,-0.2095,0.2563,-0.7663,355.57,321.39,252.18,60.2
4950,11.7,27.61,-0.5659,-0.2418,-0.0502,-0.7866,308.15,347.5,254.35,52.86
4951,10.95,28.66,-0.5181,-0.4684,-0.0258,-0.7152,271.66,321.3,268.06,53.32
4952,10.05,29.56,-0.4805,-0.5652,-0.0132,-0.6704,259.18,304.47,279.09,54.52
4953,7.8,30.61,-0.4671,-0.5354,-0.0695,-0.7002,250.87,315.99,270.96,61.05
4954,10.05,29.86,-0.4695,-0.4795,-0.0936,-0.7355,255.03,329.13,260.61,53.03
4955,10.05,30.91,-0.4662,-0.4819,-0.068,-0.7388,258.3,326.47,260.81,51.42
4956,9.6,30.91,-0.4689,-0.4486,-0.0893,-0.7555,260.78,333.82,255.92,55.75
4957,9.3,29.86,-0.4737,-0.3803,-0.1475,-0.7805,265.66,348.98,247.34,51.87
4958,11.1,30.91,-0.4988,-0.3971,-0.0895,-0.7652,271.62,338.81,254.88,48.62
4959,10.2,29.71,-0.5264,-0.4019,0.1012,-0.7424,301.3,318.86,261.91,52.31
4960,9.15,30.31,-0.5718,-0.2326,0.2054,-0.7594,346.41,324.4,256.14,58.1
4961,10.8,29.11,-0.596,0.0299,0.2855,-0.7499,45.32,334.82,251.83,51.65
4962,10.8,28.06,-0.5881,0.0011,0.4746,-0.6549,68.07,311.53,248.15,56.55
4963,9.9,27.16,-0.6725,0.0538,0.4282,-0.6012,79.68,324.8,263.29,58.33
4964,9.15,27.91,-0.7298,0.1106,0.3464,-0.5789,78.64,341.95,276.66,61.43
4965,11.25,27.61,-0.7269,0.1333,0.3833,-0.5541,89.64,341.0,277.47,54.46
4966,10.8,27.76,-0.7027,0.1488,0.4272,-0.5492,99.6,336.24,272.82,57.72
4967,9.9,29.26,-0.7145,0.1374,0.3604,-0.5838,84.96,342.29,274.56,60.57
4968,10.8,27.31,-0.7137,-0.0054,0.2923,-0.6366,48.46,335.39,271.18,56.55
4969,11.25,26.86,-0.6761,-0.2591,0.1606,-0.6708,345.02,325.2,272.8,53.94
4970,8.7,30.01,-0.6524,-0.4298,-0.0214,-0.6238,291.31,319.69,285.51,59.38
4971,10.05,30.16,-0.5295,-0.6731,0.0227,-0.5159,275.81,277.2,308.97,53.03
4972,8.85,29.56,-0.4444,-0.7548,0.0646,-0.478,276.75,258.59,315.66,54.92
4973,7.05,29.56,-0.4782,-0.6375,0.0039,-0.6041,259.93,286.95,294.86,60.77
4974,9.9,30.76,-0.4924,-0.6413,0.0763,-0.5834,275.37,282.96,294.57,53.75
4975,9.15,30.31,-0.4941,-0.6823,0.1243,-0.5243,287.3,272.71,301.37,55.87
4976,7.95,28.66,-0.5047,-0.664,0.0825,-0.5456,280.23,277.84,300.65,59.51
4977,7.95,30.01,-0.5282,-0.6176,0.1064,-0.5729,286.93,285.48,293.54,55.8
4978,8.85,29.11,-0.5971,-0.5125,0.2278,-0.5735,323.18,293.01,284.55,56.46
4979,10.2,28.21,-0.6827,-0.2912,0.2298,-0.6295,353.94,316.54,275.85,52.93
4980,10.2,28.21,-0.7588,-0.0837,0.1174,-0.6352,8.23,343.93,279.55,55.78
4981,10.95,30.31,-0.7764,0.0785,0.315,-0.5402,70.04,344.53,285.44,56.9
4982,9.6,29.11,-0.7273,0.1286,0.428,-0.5208,98.32,336.69,278.0,58.88
4983,9.15,26.11,-0.8022,0.2025,0.3251,-0.458,90.0,2.2,301.46,61.43
4984,11.25,28.96,-0.8461,0.2476,0.2747,-0.3839,81.82,15.98,317.19,55.71
4985,10.35,27.31,-0.8473,0.2468,0.2916,-0.3688,85.11,16.01,319.22,56.44
4986,9.6,29.11,-0.8213,0.2094,0.3509,-0.3982,95.99,5.53,310.74,58.39
4987,10.8,28.06,-0.7981,0.1386,0.3667,-0.4576,90.81,350.63,296.42,57.03
4988,11.25,28.66,-0.7903,-0.0047,0.3148,-0.5257,59.02,337.12,286.63,58.42
4989,10.5,26.86,-0.7804,-0.2089,0.1756,-0.5626,4.47,328.4,287.79,56.81
4990,10.5,28.96,-0.7133,-0.4704,-0.0594,-0.5161,290.44,312.07,304.07,51.5
4991,9.9,31.36,-0.5826,-0.7266,0.1799,-0.3168,330.95,262.85,319.36,50.48
4992,7.65,28.66,-0.5487,-0.7453,0.1717,-0.3376,323.31,259.68,318.7,58.43
4993,5.55,29.86,-0.6139,-0.6533,0.129,-0.4238,313.42,277.06,311.4,66.96
4994,7.65,28.96,-0.6348,-0.627,0.1298,-0.4325,315.63,281.21,309.76,58.43
4995,8.85,31.21,-0.6462,-0.6295,0.1423,-0.4073,321.59,280.18,311.66,57.89
4996,8.7,28.96,-0.65,-0.6161,0.0958,-0.4345,311.48,284.12,311.5,54.06
4997,9.3,29.86,-0.6484,-0.611,0.0618,-0.4499,303.98,286.16,311.71,51.87
4998,10.5,31.36,-0.6496,-0.621,0.1044,-0.4261,313.64,283.01,312.0,50.53
4999,7.8,31.21,-0.6617,-0.5948,0.0684,-0.4514,306.97,288.45,310.67,56.65
5000,8.7,30.01,-0.6922,-0.5351,-0.0115,-0.4842,295.44,300.34,308.89,54.06
5001,8.55,29.86,-0.7052,-0.5469,0.0057,-0.4511,301.92,297.35,312.71,55.2
5002,9.45,31.36,-0.744,-0.4848,-0.0702,-0.4545,293.94,308.34,313.5,55.01
5003,9.45,31.36,-0.7838,-0.2736,-0.2843,-0.4795,269.83,347.22,302.4,52.8
5004,9.45,31.36,-0.8246,-0.0435,-0.3895,-0.408,274.65,19.56,299.64,51.78
5005,10.8,32.26,-0.8727,0.0368,-0.4084,-0.2652,272.23,22.93,316.85,45.78
5006,11.55,33.31,-0.8353,0.166,-0.5166,-0.0883,247.03,41.89,324.69,43.86
5007,11.1,34.06,-0.7283,0.3507,-0.5836,0.078,230.43,80.15,316.04,42.16
5008,11.55,34.51,-0.6808,0.438,-0.5436,0.2219,221.71,85.92,330.73,41.03
5009,12.15,35.56,-0.5821,0.4375,-0.5432,0.4179,187.06,64.02,10.46,41.63
5010,12.6,34.51,-0.3873,0.3419,-0.5712,0.6379,237.06,283.77,167.49,33.22
5011,13.2,36.76,-0.2584,0.1808,-0.5355,0.7834,291.89,295.83,165.23,30.09
5012,13.65,37.96,-0.2048,0.0337,-0.3735,0.9041,335.3,317.37,159.31,24.78
5013,15.45,39.46,-0.1395,-0.1584,-0.142,0.9671,30.94,340.69,160.94,18.77
5014,17.7,39.76,-0.0571,-0.3393,0.1056,0.933,80.36,11.95,177.38,14.26
5015,18.3,40.66,0.042,-0.3316,0.3862,0.8597,65.06,55.15,202.91,1.88
5016,18.3,43.06,0.122,-0.2144,0.65,0.7188,17.22,86.35,207.34,356.25
5017,17.7,41.56,0.1333,-0.1511,0.8179,0.5389,353.67,112.6,203.04,345.28
5018,16.95,38.26,0.0592,-0.1727,0.9108,0.3704,2.31,135.95,201.01,343.25
5019,19.2,41.11,-0.0054,-0.2004,0.9408,0.2734,13.74,148.93,202.13,336.37
5020,20.71,41.11,-0.0536,-0.2338,0.946,0.218,23.46,156.69,205.33,338.99
5021,20.41,39.91,-0.0572,-0.2291,0.9612,0.1428,20.2,165.39,205.51,335.49
5022,20.26,40.06,0.0293,-0.1841,0.9787,0.0862,357.06,169.65,201.43,333.95
5023,20.26,40.81,0.0458,-0.177,0.9811,0.0628,352.24,171.97,200.73,331.6
5024,20.26,40.81,-0.0576,-0.1945,0.9788,0.0271,14.17,178.24,202.37,329.98
5025,20.11,39.16,-0.1076,-0.1957,0.9747,0.0056,24.48,181.84,202.91,330.12
5026,22.81,40.81,-0.0787,-0.1809,0.9799,0.0304,19.02,178.19,200.77,333.74
5027,19.8,40.66,-0.0991,-0.1593,0.9816,0.0359,23.78,177.72,198.2,330.72
5028,22.81,40.06,-0.142,-0.1263,0.9816,0.0185,32.93,179.98,194.66,334.35
5029,20.26,40.81,-0.1303,-0.0858,0.9877,0.006,29.94,180.62,190.01,333.95
5030,21.91,40.66,-0.1105,-0.0627,0.9919,0.0061,25.41,180.11,187.25,332.19
5031,21.76,40.81,-0.1528,-0.0545,0.9867,-0.0063,35.01,181.74,186.59,330.21
5032,21.16,39.16,-0.1821,-0.0409,0.9821,-0.027,41.65,184.17,185.53,333.92
5033,23.56,40.06,-0.1386,-0.0195,0.9894,-0.0384,31.65,184.85,182.93,333.0
5034,21.91,39.16,-0.091,-0.0122,0.9954,-0.0281,20.79,183.39,181.71,330.09
5035,21.01,39.46,-0.1288,-0.0178,0.9912,-0.026,29.47,183.32,182.49,330.26
