,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
326,0.4555,0.474,-0.7529,-0.0301,91.19,213.53,258.82,305.68
327,0.4562,0.473,-0.7531,-0.0313,91.57,213.46,258.74,311.11
328,0.4573,0.4718,-0.7532,-0.0321,91.95,213.46,258.66,305.78
329,0.4576,0.4706,-0.7537,-0.0326,92.19,213.39,258.51,304.62
330,0.4575,0.4696,-0.7543,-0.0338,92.44,213.18,258.3,306.37
331,0.4585,0.4685,-0.7543,-0.0353,92.9,213.12,258.24,308.06
332,0.4596,0.467,-0.7545,-0.0365,93.37,213.06,258.11,304.14
333,0.4606,0.4657,-0.7547,-0.0369,93.71,213.08,258.02,304.14
334,0.4601,0.4647,-0.7556,-0.037,93.73,212.93,257.78,307.91
335,0.4588,0.4638,-0.757,-0.0374,93.65,212.63,257.44,305.58
336,0.4579,0.4629,-0.758,-0.0381,93.69,212.37,257.16,309.81
337,0.4583,0.4618,-0.7584,-0.0391,93.99,212.25,257.0,308.54
338,0.4591,0.4607,-0.7586,-0.0398,94.3,212.22,256.91,302.38
339,0.4591,0.4596,-0.7591,-0.0414,94.63,211.99,256.71,303.45
340,0.4594,0.4586,-0.7594,-0.0429,94.97,211.82,256.55,304.62
341,0.4602,0.4575,-0.7596,-0.044,95.36,211.75,256.45,307.13
342,0.4606,0.4565,-0.7599,-0.0451,95.66,211.61,256.3,302.81
343,0.4599,0.4556,-0.7608,-0.0458,95.72,211.38,256.03,307.74
344,0.4589,0.4546,-0.762,-0.0462,95.69,211.12,255.73,304.99
345,0.4587,0.4536,-0.7627,-0.0464,95.75,211.0,255.52,305.88
346,0.4586,0.4525,-0.7633,-0.047,95.93,210.85,255.31,303.33
347,0.4588,0.4515,-0.7638,-0.0479,96.17,210.71,255.14,303.57
348,0.4592,0.4503,-0.7641,-0.0491,96.5,210.56,254.98,306.79
349,0.4602,0.4492,-0.7642,-0.05,96.87,210.53,254.89,306.37
350,0.4597,0.4481,-0.765,-0.0517,97.13,210.2,254.6,306.37
351,0.4586,0.4473,-0.766,-0.0532,97.21,209.81,254.27,308.35
352,0.4576,0.4464,-0.767,-0.0546,97.32,209.45,253.95,305.3
