time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
-0.2003,-0.6054,-0.7694,-0.0368,318.69,191.46,101.51,298.79
-0.0296,-0.2494,-0.8202,-0.5139,324.5,119.57,156.56,299.0
0.2868,0.1893,-0.4443,-0.8273,69.23,49.58,158.14,301.01
0.3825,0.4684,0.0971,-0.7904,83.56,316.65,111.1,306.29
0.2514,0.6373,0.457,-0.5673,59.11,254.67,94.04,308.37
0.0789,0.6517,0.6931,-0.2978,32.38,212.47,98.27,312.25
-0.2944,0.6253,0.7169,0.0912,35.89,148.36,92.68,315.15
-0.7934,0.1948,0.4972,0.2922,84.91,54.37,63.0,314.86
-0.8364,0.1277,-0.0294,0.5322,338.67,10.69,63.93,318.69
-0.844,-0.0978,0.0004,0.5273,11.92,350.47,63.49,323.47
-0.859,-0.2037,-0.009,0.4696,20.27,338.65,55.41,323.71
-0.8697,-0.2297,-0.0755,0.4303,7.61,332.26,51.71,320.53
-0.9445,-0.1775,-0.2059,0.1845,322.26,334.24,26.46,322.46
